lat,lon,date
51.4812916,-0.4510112,05/14/2014 09:07
51.474005,-0.4509991,05/14/2014 09:22
51.4781991,-0.446081,05/14/2014 10:51
51.4781991,-0.446081,05/14/2014 11:24
51.4741456,-0.4515622,05/14/2014 11:38
51.4801463,-0.4411027,05/14/2014 12:23
51.479669,-0.4410238,05/14/2014 12:38
38.7817746,-9.1375444,05/14/2014 15:11
38.7744221,-9.1291947,05/14/2014 15:25
38.771939,-9.1289106,05/14/2014 15:41
38.7694328,-9.1244026,05/14/2014 15:55
38.7429871,-9.1477802,05/14/2014 16:11
38.7128158,-9.1398331,05/14/2014 16:25
38.7110495,-9.1397388,05/14/2014 16:40
38.7119242,-9.1374341,05/14/2014 16:55
38.711283,-9.1387968,05/14/2014 17:25
38.7071923,-9.1368245,05/14/2014 17:40
38.7096234,-9.1306099,05/14/2014 18:10
38.715637,-9.1205578,05/14/2014 18:25
38.7143626,-9.1306584,05/14/2014 18:40
38.7143734,-9.1345486,05/14/2014 18:55
38.712536,-9.1331499,05/14/2014 19:10
38.711977,-9.1417878,05/14/2014 19:26
38.713834,-9.1344059,05/14/2014 19:40
38.7124623,-9.1331557,05/14/2014 19:55
38.7131813,-9.1353435,05/14/2014 20:40
38.7127963,-9.1360143,05/14/2014 21:10
38.7118122,-9.1372845,05/14/2014 21:25
38.7117969,-9.1373177,05/14/2014 21:51
38.7118745,-9.1373306,05/14/2014 22:05
38.7119086,-9.1373452,05/14/2014 22:19
38.7118862,-9.1373517,05/14/2014 22:35
38.7118712,-9.1373178,05/14/2014 22:50
38.7118761,-9.1373146,05/14/2014 23:05
38.7118605,-9.137332,05/14/2014 23:20
38.7118783,-9.1373423,05/14/2014 23:50
38.7118881,-9.1373381,05/15/2014 00:20
38.711888,-9.1373363,05/15/2014 00:50
38.711864,-9.1373236,05/15/2014 01:20
38.7118701,-9.1373246,05/15/2014 01:49
38.7118691,-9.137326,05/15/2014 02:20
38.7118984,-9.1373365,05/15/2014 02:49
38.7119017,-9.1373634,05/15/2014 03:20
38.7119172,-9.13736,05/15/2014 03:50
